2019/01,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
6,에브리씽 에브리웨어 올 앳 원스,2022-10-12,"1,710,713,343",2.70%,"3,689,103,471","161,670","345,826",421,"11,902",,6,30일,2023-10-03,"2,761,079,249",3.80%,"21,245,125,869","283,824","2,163,945",708,"25,857"
7,리멤버,2022-10-26,"1,465,678,147",2.30%,"3,955,521,717","152,206","410,176","1,064","26,013",,7,톡 투 미,2023-11-01,"1,740,472,720",2.40%,"1,754,768,720","184,095","185,785",604,"17,661"
8,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"1,267,262,793",2.00%,"8,299,093,196","126,630","828,311",581,"9,894",,8,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,"1,737,857,269",2.40%,"1,737,857,269","177,597","177,597",986,"19,339"
9,블랙 아담,2022-10-19,"1,193,128,203",1.90%,"8,040,723,608","117,400","779,485",777,"18,496",,9,싱글 인 서울,2023-11-29,"864,469,381",1.20%,"864,469,381","101,741","101,741",917,"6,633"
10,압꾸정,2022-11-30,"801,713,112",1.30%,"801,713,112","99,455","99,455","1,229","5,108",,10,뉴 노멀,2023-11-08,"970,111,123",1.30%,"984,121,123","101,047","102,448",546,"10,861"
합계,,,"56,044,304,325",88.50%,"77,177,995,937","5,557,510","7,648,170","11,452","370,866",,합계,,,"61,413,979,047",84.00%,"90,418,086,347","6,430,569","9,396,012","11,047","365,954"
,,,,,,,,,,,,,,,,,,,,
2022/12,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/12,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,아바타: 물의 길,2022-12-14,"90,296,839,202",57.30%,"90,296,839,202","7,313,149","7,313,149","2,809","152,626",,1,서울의 봄,2023-11-22,"87,680,455,951",53.40%,"115,350,491,410","8,901,879","11,854,779","2,463","215,008"
2,올빼미,2022-11-23,"20,878,183,696",13.20%,"31,769,067,550","2,095,451","3,222,767","1,479","93,627",,2,노량: 죽음의 바다,2023-12-20,"34,032,608,940",20.70%,"34,032,608,940","3,438,133","3,438,133","2,196","81,643"
3,영웅,2022-12-21,"14,534,225,323",9.20%,"14,534,225,323","1,487,679","1,487,679","1,314","45,482",,3,아쿠아맨과 로스트 킹덤,2023-12-20,"7,459,599,772",4.50%,"7,459,599,772","722,986","722,986",965,"25,387"
4,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"6,659,982,285",4.20%,"6,750,156,802","651,838","662,397",439,"20,038",,4,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,"5,506,327,689",3.40%,"5,506,327,689","568,269","568,269",883,"15,379"
5,압꾸정,2022-11-30,"4,921,038,549",3.10%,"5,722,751,661","508,742","608,197","1,172","42,300",,5,3일의 휴가,2023-12-06,"4,808,376,689",2.90%,"4,835,070,689","511,659","514,541",863,"31,537"
6,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,"3,417,319,076",2.20%,"3,417,319,076","356,783","356,783",686,"12,996",,6,트롤: 밴드 투게더,2023-12-20,"3,109,643,201",1.90%,"3,109,643,201","336,939","336,939",845,"10,585"
7,탄생,2022-11-30,"2,777,964,964",1.80%,"3,027,962,441","304,243","335,938",690,"18,731",,7,괴물,2023-11-29,"3,244,538,892",2.00%,"3,791,952,275","324,524","387,427",619,"17,499"
8,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,"1,736,099,400",1.10%,"1,740,432,400","192,725","193,344",380,"8,603",,8,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,"2,929,207,296",1.80%,"2,933,239,296","320,614","321,190",850,"13,573"
9,젠틀맨,2022-12-28,"1,421,084,655",0.90%,"1,421,084,655","152,558","152,558",751,"9,229",,9,싱글 인 서울,2023-11-29,"2,874,163,647",1.70%,"3,738,633,028","297,834","399,575",886,"25,890"
10,원피스 필름 레드,2022-11-30,"1,632,112,148",1.00%,"2,060,258,368","149,791","192,703",550,"12,796",,10,나폴레옹,2023-12-06,"2,231,365,950",1.40%,"2,241,973,950","224,748","225,372",822,"17,909"
합계,,,"148,274,849,298",94.00%,"160,740,097,478","13,212,959","14,525,515","10,270","416,428",,합계,,,"153,876,288,027",93.70%,"182,999,540,250","15,647,585","18,769,211","11,392","454,410"
,,,,,,,,,,,,,,,,,,,,
2024/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,위시,2024-01-03,"12,946,267,193",17.30%,"12,956,605,193","1,356,390","1,357,472","1,421","83,743",,1,하얼빈,2024-12-24,"19,891,094,780",23.30%,"46,140,123,100","2,068,563","4,823,799","1,425","116,074"
2,외계+인 2부,2024-01-10,"13,016,779,919",17.40%,"13,016,779,919","1,349,620","1,349,620","1,390","89,503",,2,히트맨2,2025-01-22,"15,576,824,740",18.30%,"15,576,824,740","1,654,428","1,654,428","1,588","51,754"
3,서울의 봄,2023-11-22,"11,970,794,644",16.00%,"127,321,286,054","1,206,194","13,060,973","1,614","75,922",,3,검은 수녀들,2025-01-24,"12,271,344,520",14.40%,"12,271,344,520","1,267,797","1,267,797","1,662","47,087"
4,노량: 죽음의 바다,2023-12-20,"10,854,904,560",14.50%,"44,887,513,500","1,122,234","4,560,367","1,706","72,225",,4,소방관,2024-12-04,"5,084,748,380",6.00%,"36,246,123,670","533,707","3,851,003",884,"42,465"
5,시민덕희,2024-01-24,"6,117,073,296",8.20%,"6,117,073,296","662,483","662,483","1,272","37,916",,5,뽀로로 극장판 바닷속 대모험,2025-01-01,"2,926,095,680",3.40%,"3,242,433,070","342,639","376,594",791,"21,977"
6,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,"3,324,459,712",4.50%,"8,830,787,401","344,604","912,873",834,"21,866",,6,수퍼 소닉3,2025-01-01,"3,034,503,010",3.60%,"3,242,995,690","332,198","353,655",882,"23,257"
7,인투 더 월드,2024-01-10,"2,833,041,955",3.80%,"2,886,611,955","310,382","316,197",839,"24,674",,7,보고타: 마지막 기회의 땅,2024-12-31,"2,994,218,870",3.50%,"3,899,557,760","321,425","422,366",979,"28,953"
8,웡카,2024-01-31,"1,509,371,945",2.00%,"1,509,371,945","181,301","181,301","1,717","7,412",,8,말할 수 없는 비밀,2025-01-27,"2,218,501,920",2.60%,"2,218,501,920","235,293","235,293",864,"12,957"
9,아쿠아맨과 로스트 킹덤,2023-12-20,"1,529,816,884",2.00%,"8,989,416,656","154,948","877,934",832,"11,326",,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,"1,982,489,760",2.30%,"7,328,907,140","211,361","779,086",562,"15,760"
10,괴물,2023-11-29,"1,070,835,292",1.40%,"4,862,787,567","106,484","493,911",205,"6,979",,10,서브스턴스,2024-12-11,"1,919,029,100",2.20%,"3,439,526,700","197,098","353,312",344,"9,687"
합계,,,"65,173,345,400",87.10%,"231,378,233,486","6,794,640","23,773,131","11,830","431,566",,합계,,,"67,898,850,760",79.60%,"133,606,338,310","7,164,509","14,117,333","9,981","369,971"
,,,,,,,,,,,,,,,,,,,,
2024/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,파묘,2024-02-22,"35,074,653,666",31.70%,"35,074,653,666","3,697,234","3,697,234","2,355","66,290",,1,캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,"14,554,372,506",27.40%,"14,554,372,506","1,464,276","1,464,276","1,901","103,015"
2,웡카,2024-01-31,"28,559,191,141",25.80%,"30,068,563,086","2,943,396","3,124,697","1,753","124,701",,2,히트맨2,2025-01-22,"8,360,342,240",15.70%,"23,937,166,980","887,949","2,542,377","1,495","66,343"
3,시민덕희,2024-01-24,"9,958,903,001",9.00%,"16,075,976,297","1,038,452","1,700,935","1,281","58,090",,3,말할 수 없는 비밀,2025-01-27,"5,534,030,180",10.40%,"7,752,532,100","577,640","812,933",986,"49,827"
4,건국전쟁,2024-02-01,"9,619,732,158",8.70%,"9,637,314,158","1,031,011","1,032,762",956,"40,252",,4,검은 수녀들,2025-01-24,"3,838,046,760",7.20%,"16,109,391,280","398,774","1,666,571","1,192","37,147"
5,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,"4,901,269,600",4.40%,"4,901,269,600","426,871","426,871",393,"20,640",,5,미키 17,2025-02-28,"2,547,448,920",4.80%,"2,547,448,920","254,393","254,393","2,151","8,794"
6,도그데이즈,2024-02-07,"3,467,851,608",3.10%,"3,564,169,608","356,139","366,841",847,"27,473",,6,퇴마록,2025-02-21,"1,927,104,720",3.60%,"1,927,104,720","203,038","203,038",841,"18,095"
7,소풍,2024-02-07,"2,801,447,020",2.50%,"2,816,606,020","312,731","314,378",729,"22,312",,7,브로큰,2025-02-05,"1,814,276,200",3.40%,"1,824,320,200","195,809","196,925",818,"21,335"
8,듄: 파트2,2024-02-28,"2,798,968,113",2.50%,"2,798,968,113","268,505","268,505","1,544","9,794",,8,서브스턴스,2024-12-11,"1,688,426,420",3.20%,"5,127,953,120","173,541","526,853",327,"11,165"
9,데드맨,2024-02-07,"2,257,288,704",2.00%,"2,272,210,704","236,624","238,198",800,"19,478",,9,"그 시절, 우리가 좋아했던 소녀",2025-02-21,"1,035,962,600",2.00%,"1,035,962,600","117,419","117,419",709,"13,652"
10,아가일,2024-02-07,"1,421,458,457",1.30%,"1,441,885,457","138,833","140,464",841,"15,913",,10,하얼빈,2024-12-24,"791,931,880",1.50%,"46,932,054,980","84,622","4,908,421",711,"9,440"
합계,,,"100,860,763,468",91.00%,"108,651,616,709","10,449,796","11,310,885","11,499","404,943",,합계,,,"42,091,942,426",79.20%,"121,748,307,406","4,357,461","12,693,206","11,131","338,813"
,,,,,,,,,,,,,,,,,,,,
2024/03,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/03,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,파묘,2024-02-22,"70,718,670,542",60.70%,"105,793,324,208","7,260,057","10,957,291","2,367","218,130",,1,미키 17,2025-02-28,"26,703,536,310",43.10%,"29,250,985,230","2,712,431","2,966,824","2,153","141,207"
2,듄: 파트2,2024-02-28,"19,142,164,349",16.40%,"21,941,132,462","1,617,518","1,886,023","1,190","65,973",,2,승부,2025-03-26,"7,127,412,880",11.50%,"7,127,412,880","769,237","769,237","1,773","42,711"
3,댓글부대,2024-03-27,"5,042,262,113",4.30%,"5,042,262,113","541,047","541,047","1,228","24,274",,3,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,"5,461,684,260",8.80%,"5,461,684,260","550,906","550,906",424,"18,954"
4,웡카,2024-01-31,"3,838,072,524",3.30%,"33,906,635,610","401,512","3,526,209",695,"19,507",,4,퇴마록,2025-02-21,"2,736,497,180",4.40%,"4,663,601,900","288,325","491,363",935,"28,656"
5,고질라 X 콩: 뉴 엠파이어,2024-03-27,"3,221,961,514",2.80%,"3,221,961,514","321,128","321,128",995,"16,323",,5,콘클라베,2025-03-05,"2,186,519,100",3.50%,"2,221,690,500","230,536","234,152",630,"20,735"
6,극장판 스파이 패밀리 코드 : 화이트,2024-03-20,"2,343,723,486",2.00%,"2,343,723,486","235,008","235,008",917,"21,090",,6,캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,"1,815,878,780",2.90%,"16,370,251,286","189,610","1,653,886",732,"16,949"
7,브레드이발소: 셀럽 인 베이커리타운,2024-03-01,"1,474,276,210",1.30%,"1,648,494,100","173,713","192,595",342,"6,540",,7,백설공주,2025-03-19,"1,646,347,690",2.70%,"1,646,347,690","174,435","174,435","1,043","21,793"
8,가여운 것들,2024-03-06,"1,421,882,806",1.20%,"1,465,779,256","142,488","146,666",471,"11,219",,8,플로우,2025-03-19,"1,033,872,460",1.70%,"1,072,753,860","108,474","112,465",693,"9,905"
9,건국전쟁,2024-02-01,"1,250,960,217",1.10%,"10,888,274,375","138,922","1,171,684",453,"8,728",,9,스트리밍,2025-03-21,"997,131,820",1.60%,"997,131,820","103,077","103,077",819,"14,287"
10,패스트 라이브즈,2024-03-06,"1,068,021,931",0.90%,"1,094,523,931","115,193","118,077",613,"13,964",,10,침범,2025-03-12,"774,119,300",1.20%,"774,119,300","86,142","86,142",540,"10,631"
합계,,,"109,521,995,692",94.00%,"187,346,111,055","10,946,586","19,095,728","9,271","405,748",,합계,,,"50,482,942,426",81.40%,"69,585,978,726","5,213,173","7,142,487","9,742","325,828"
,,,,,,,,,,,,,,,,,,,,
2024/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,범죄도시4,2024-04-24,"47,568,478,254",52.90%,"47,568,478,254","5,005,372","5,005,372","2,980","112,858",,1,야당,2025-04-16,"17,335,200,590",33.90%,"17,338,269,590","1,841,518","1,841,797","1,850","100,486"
2,쿵푸팬더4,2024-04-10,"13,113,276,904",14.60%,"13,124,943,904","1,403,363","1,404,570","2,311","90,797",,2,승부,2025-03-26,"12,678,579,880",24.80%,"19,805,992,760","1,350,527","2,119,764","1,548","105,224"
3,파묘,2024-02-22,"8,837,982,638",9.80%,"114,631,306,846","902,841","11,860,132","1,280","76,395",,3,A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,"4,019,940,940",7.90%,"4,019,940,940","423,665","423,665","1,450","19,653"
4,댓글부대,2024-03-27,"4,185,464,098",4.70%,"9,227,726,211","430,033","971,080","1,059","43,303",,4,로비,2025-04-02,"2,413,028,740",4.70%,"2,456,403,340","255,534","260,151","1,013","32,929"
5,남은 인생 10년,2023-05-24,"2,862,042,165",3.20%,"4,330,960,765","287,554","425,186",529,"18,821",,5,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,"2,635,164,810",5.20%,"8,096,849,070","250,600","801,506",298,"16,007"
6,고질라 X 콩: 뉴 엠파이어,2024-03-27,"1,873,675,311",2.10%,"5,095,636,825","187,566","508,694",813,"21,382",,6,거룩한 밤: 데몬 헌터스,2025-04-30,"972,901,300",1.90%,"972,901,300","121,319","121,319",932,"3,791"
7,오멘: 저주의 시작,2024-04-03,"1,844,688,704",2.10%,"1,846,911,704","179,279","179,526",644,"16,440",,7,썬더볼츠＊,2025-04-30,"915,362,610",1.80%,"915,362,610","101,423","101,423","1,274","4,651"
8,듄: 파트2,2024-02-28,"1,419,809,499",1.60%,"23,360,941,961","108,156","1,994,179",456,"6,800",,8,아마추어,2025-04-09,"903,141,350",1.80%,"903,141,350","96,167","96,167",728,"15,442"
9,비키퍼,2024-04-03,"945,286,905",1.10%,"962,290,905","101,325","102,969",713,"13,012",,9,콘클라베,2025-03-05,"653,802,820",1.30%,"2,875,493,320","68,325","302,477",314,"6,741"
10,유미의 세포들 더 무비,2024-04-03,"585,255,900",0.70%,"605,332,900","72,888","75,623",441,"10,587",,10,플로우,2025-03-19,"595,837,800",1.20%,"1,668,591,660","61,908","174,373",467,"6,726"
합계,,,"83,235,960,378",92.80%,"220,754,530,275","8,678,377","22,527,331","11,266","410,395",,합계,,,"43,122,960,840",84.50%,"59,052,945,940","4,570,986","6,242,642","9,874","311,650"
,,,,,,,,,,,,,,,,,,,,
2024/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,범죄도시4,2024-04-24,"59,331,646,657",54.10%,"106,900,124,911","6,174,857","11,180,229","2,795","237,235",,1,미션 임파서블: 파이널 레코닝,2025-05-17,"23,065,412,310",28.00%,"23,065,412,310","2,334,727","2,334,727","2,385","94,508"
2,혹성탈출: 새로운 시대,2024-05-08,"8,983,534,876",8.20%,"8,983,534,876","887,475","887,475","1,184","51,514",,2,야당,2025-04-16,"14,530,617,340",17.60%,"31,868,886,930","1,522,463","3,364,260","1,441","81,704"
3,그녀가 죽었다,2024-05-15,"7,991,507,015",7.30%,"7,995,476,015","837,143","837,584","1,008","48,245",,3,A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,"8,637,220,530",10.50%,"12,657,161,470","925,266","1,348,931","1,415","35,778"
4,퓨리오사: 매드맥스 사가,2024-05-22,"8,434,367,880",7.70%,"8,434,367,880","812,352","812,352","1,442","44,871",,4,썬더볼츠＊,2025-04-30,"8,343,968,950",10.10%,"9,259,331,560","818,769","920,192","1,236","52,501"
5,극장판 하이큐!! 쓰레기장의 결전,2024-05-15,"5,529,154,607",5.00%,"5,529,154,607","536,130","536,130","1,212","32,913",,5,거룩한 밤: 데몬 헌터스,2025-04-30,"6,230,473,900",7.60%,"7,203,375,200","655,989","777,308","1,097","36,071"
6,쿵푸팬더4,2024-04-10,"3,403,331,100",3.10%,"16,528,275,004","366,242","1,770,812",971,"12,403",,6,파과,2025-04-30,"4,865,845,600",5.90%,"5,213,680,800","502,936","545,714",886,"34,538"
7,가필드 더 무비,2024-05-15,"2,367,956,684",2.20%,"2,367,956,684","260,691","260,691",873,"14,037",,7,릴로 & 스티치,2025-05-21,"2,627,821,210",3.20%,"2,627,821,210","277,961","277,961","1,034","19,149"
8,설계자,2024-05-29,"1,886,744,578",1.70%,"1,886,744,578","225,344","225,344","1,345","17,056",,8,하이파이브,2025-05-30,"2,233,877,430",2.70%,"2,233,877,430","236,989","236,989","1,147","7,863"
9,스턴트맨,2024-05-01,"1,877,020,062",1.70%,"2,179,817,062","181,091","214,196",801,"16,880",,9,소주전쟁,2025-05-30,"978,657,390",1.20%,"978,657,390","99,750","99,750","1,040","7,751"
10,"포켓몬스터: 성도지방 이야기, 최종장",2024-05-01,"1,382,606,357",1.30%,"1,384,366,357","156,983","157,143",710,"9,488",,10,해피엔드,2025-04-30,"916,531,750",1.10%,"1,004,241,050","93,605","102,973",180,"5,710"
합계,,,"101,187,869,816",92.30%,"162,189,817,974","10,438,308","16,881,956","12,341","484,642",,합계,,,"72,430,426,410",87.90%,"96,112,445,350","7,468,455","10,008,805","11,861","375,573"
,,,,,,,,,,,,,,,,,,,,
2024/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,인사이드 아웃 2,2024-06-12,"54,296,410,494",49.90%,"54,296,410,494","5,638,833","5,638,833","2,619","191,541",,1,하이파이브,2025-05-30,"14,925,913,580",20.20%,"17,159,791,010","1,612,363","1,849,352","1,343","89,153"
2,하이재킹,2024-06-21,"10,314,943,018",9.50%,"10,316,869,018","1,087,330","1,087,544","1,155","41,879",,2,드래곤 길들이기,2025-06-06,"15,566,398,960",21.10%,"15,611,823,960","1,544,510","1,547,247","1,650","78,571"
3,퓨리오사: 매드맥스 사가,2024-05-22,"7,986,194,948",7.30%,"16,420,562,828","786,121","1,598,473","1,360","48,082",,3,미션 임파서블: 파이널 레코닝,2025-05-17,"9,883,322,550",13.40%,"32,948,734,860","1,025,274","3,360,001","1,365","53,463"
4,원더랜드,2024-06-05,"5,857,952,571",5.40%,"5,898,947,571","618,867","623,338","1,165","43,764",,4,신명,2025-06-02,"7,042,863,160",9.50%,"7,179,717,660","739,317","752,149",785,"36,676"
5,핸섬가이즈,2024-06-26,"4,224,677,026",3.90%,"4,226,900,026","458,626","458,873",965,"18,195",,5,F1 더 무비,2025-06-25,"5,765,519,060",7.80%,"5,765,519,060","534,899","534,899","1,665","30,339"
6,그녀가 죽었다,2024-05-15,"3,768,944,742",3.50%,"11,764,420,757","394,106","1,231,690",900,"27,550",,6,엘리오,2025-06-18,"4,154,591,890",5.60%,"4,154,591,890","449,114","449,114","1,110","28,419"
7,콰이어트 플레이스: 첫째 날,2024-06-26,"3,468,856,592",3.20%,"3,468,856,592","358,339","358,339",942,"17,361",,7,28년 후,2025-06-19,"2,941,286,720",4.00%,"2,941,286,720","328,390","328,390",939,"24,805"
8,범죄도시4,2024-04-24,"3,116,477,486",2.90%,"110,016,602,397","318,721","11,498,950",897,"24,771",,8,노이즈,2025-06-25,"2,239,878,870",3.00%,"2,239,878,870","232,958","232,958",878,"10,208"
9,설계자,2024-05-29,"2,841,895,289",2.60%,"4,728,639,867","300,025","525,369","1,113","27,689",,9,릴로 & 스티치,2025-05-21,"1,920,886,100",2.60%,"4,548,707,310","204,553","482,514",888,"10,450"
10,극장판 하이큐!! 쓰레기장의 결전,2024-05-15,"1,666,253,727",1.50%,"7,195,408,334","162,821","698,951",516,"9,478",,10,소주전쟁,2025-05-30,"1,635,291,560",2.20%,"2,613,948,950","180,072","279,822",984,"19,350"
합계,,,"97,542,605,893",89.70%,"228,333,617,884","10,123,789","23,720,360","11,632","450,310",,합계,,,"66,075,952,450",89.40%,"95,164,000,290","6,851,450","9,816,446","11,607","381,434"
,,,,,,,,,,,,,,,,,,,,
2024/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,인사이드 아웃 2,2024-06-12,"26,472,253,172",23.00%,"80,768,663,666","2,767,299","8,406,132","1,664","120,555",,1,쥬라기 월드: 새로운 시작,2025-07-02,"20,937,626,270",18.20%,"20,946,164,270","2,197,638","2,198,208","1,645","86,452"
2,탈주,2024-07-03,"22,537,334,282",19.50%,"22,665,054,282","2,382,788","2,396,691","1,234","108,501",,2,F1 더 무비,2025-06-25,"23,127,274,590",20.10%,"28,892,793,650","2,177,434","2,712,333","1,382","69,260"
3,데드풀과 울버린,2024-07-24,"13,839,704,940",12.00%,"13,839,704,940","1,352,113","1,352,113","1,948","60,958",,3,노이즈,2025-06-25,"14,214,389,760",12.40%,"16,454,268,630","1,445,177","1,678,135","1,001","59,840"
4,핸섬가이즈,2024-06-26,"12,116,866,192",10.50%,"16,343,766,218","1,289,849","1,748,722","1,065","73,126",,4,킹 오브 킹스,2025-07-16,"8,237,623,176",7.20%,"8,257,773,176","875,009","876,942","1,191","33,337"
5,슈퍼배드 4,2024-07-24,"7,685,485,124",6.70%,"7,685,485,124","843,830","843,830","1,178","36,541",,5,전지적 독자 시점,2025-07-23,"8,356,995,660",7.30%,"8,356,995,660","857,453","857,453","1,581","37,964"
6,하이재킹,2024-06-21,"6,507,623,273",5.60%,"16,824,492,291","683,766","1,771,310",970,"44,711",,6,슈퍼맨,2025-07-09,"8,641,351,460",7.50%,"8,641,351,460","855,058","855,058","1,286","43,778"
7,탈출: 프로젝트 사일런스,2024-07-12,"6,654,592,123",5.80%,"6,654,592,123","682,730","682,730","1,078","42,509",,7,좀비딸,2025-07-30,"5,931,574,300",5.20%,"5,931,574,300","702,981","702,981","1,557","13,435"
8,명탐정 코난: 100만 달러의 펜타그램,2024-07-17,"5,932,215,793",5.10%,"5,932,215,793","608,173","608,173","1,089","33,055",,8,명탐정 코난: 척안의 잔상,2025-07-16,"5,928,860,580",5.20%,"5,928,860,580","606,511","606,511",901,"28,697"
9,파일럿,2024-07-31,"3,448,408,819",3.00%,"3,448,408,819","425,305","425,305","1,827","8,990",,9,판타스틱 4: 새로운 출발,2025-07-24,"5,095,481,540",4.40%,"5,095,481,540","473,311","473,311","1,027","24,413"
10,콰이어트 플레이스: 첫째 날,2024-06-26,"1,912,903,933",1.70%,"5,381,760,525","194,280","552,619",799,"16,542",,10,드래곤 길들이기,2025-06-06,"2,314,812,540",2.00%,"17,926,636,500","240,300","1,787,547",706,"14,439"
합계,,,"107,107,387,651",92.90%,"179,544,143,781","11,230,133","18,787,625","12,852","545,488",,합계,,,"102,785,989,876",89.50%,"126,431,899,766","10,430,872","12,748,479","12,277","411,615"
,,,,,,,,,,,,,,,,,,,,
2024/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,파일럿,2024-07-31,"37,622,232,042",32.20%,"41,070,640,861","4,032,634","4,457,939","1,956","169,009",,1,좀비딸,2025-07-30,"44,746,021,810",33.00%,"50,677,596,110","4,644,106","5,347,087","1,598","151,123"
2,에이리언: 로물루스,2024-08-14,"16,004,583,339",13.70%,"16,004,583,339","1,560,130","1,560,130","1,436","66,005",,2,극장판 귀멸의 칼날: 무한성편,2025-08-22,"34,047,376,980",25.10%,"34,047,376,980","3,153,741","3,153,741","2,298","74,827"
3,사랑의 하츄핑,2024-08-07,"7,549,787,272",6.50%,"7,679,896,522","838,138","849,826","1,159","37,437",,3,F1 더 무비,2025-06-25,"22,242,353,450",16.40%,"51,135,147,100","2,048,138","4,760,471",981,"66,530"
4,슈퍼배드 4,2024-07-24,"6,397,596,976",5.50%,"14,083,082,100","704,730","1,548,560","1,110","35,852",,4,킹 오브 킹스,2025-07-16,"3,969,127,900",2.90%,"12,226,901,076","419,093","1,296,035",814,"18,221"
5,행복의 나라,2024-08-14,"6,299,715,896",5.40%,"6,302,599,896","681,438","681,731","1,096","42,676",,5,악마가 이사왔다,2025-08-13,"3,963,230,310",2.90%,"3,963,230,310","417,227","417,227",974,"30,705"
6,데드풀과 울버린,2024-07-24,"6,555,574,556",5.60%,"20,395,279,496","616,479","1,968,592","1,033","33,837",,6,발레리나,2025-08-06,"3,161,313,170",2.30%,"3,195,025,170","317,279","320,962",757,"21,271"
7,트위스터스,2024-08-14,"5,507,377,098",4.70%,"5,507,477,098","531,735","531,745",874,"26,532",,7,배드 가이즈 2,2025-07-30,"2,810,080,200",2.10%,"3,563,852,930","309,013","394,762",769,"16,612"
8,인사이드 아웃 2,2024-06-12,"3,595,758,622",3.10%,"84,364,422,288","376,993","8,783,125",779,"18,372",,8,긴키 지방의 어느 장소에 대하여,2025-08-13,"2,557,863,590",1.90%,"2,557,863,590","250,554","250,554",438,"10,334"
9,빅토리,2024-08-14,"3,301,092,922",2.80%,"3,303,315,922","362,635","362,882",789,"26,269",,9,전지적 독자 시점,2025-07-23,"1,691,295,600",1.20%,"10,048,291,260","203,184","1,060,637",791,"14,024"
10,늘봄가든,2024-08-21,"2,909,405,103",2.50%,"2,909,405,103","304,231","304,231",875,"17,291",,10,스머프,2025-08-06,"1,643,151,840",1.20%,"1,646,621,840","185,894","186,276",639,"11,249"
합계,,,"95.743,123,826",82.00%,"201,620,702,625","10,009,143","21,048,761","11,107","473,280",,합계,,,"120,831,814,850",89.00%,"173,061,906,366","11,948,229","17,187,752","10,059","414,896"
,,,,,,,,,,,,,,,,,,,,
2024/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2025/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,베테랑2,2024-09-13,"62,497,677,496",62.40%,"62,497,677,496","6,489,383","6,489,383","2,691","200,561",,1,극장판 귀멸의 칼날: 무한성편,2025-08-22,"20,492,337,640",26.30%,"54,539,714,620","1,872,952","5,026,693","1,761","97,947"
2,에이리언: 로물루스,2024-08-14,"4,400,663,791",4.40%,"20,405,247,130","438,500","1,998,630","1,009","41,535",,2,어쩔수가없다,2025-09-24,"12,035,224,470",15.50%,"12,036,120,470","1,234,155","1,234,219","2,114","47,087"
